# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
gong jian 	共建	c=1 d=1 t=43974
gong jian 	工件	c=5 d=0.694204 t=53366
gong jian xiang 	工件箱	c=1 d=7.86896e-05 t=53366
gong jiao 	公交	c=1 d=0.0501576 t=53366
gong jiao che 	公交車	c=1 d=1.16002e-11 t=53366
gong jiao piao 	公交票	c=1 d=0.50409 t=53366
gong jing mi lan 	宮頸糜爛	c=1 d=2.87344e-06 t=53366
gong ju 	工具	c=10 d=0.933713 t=53366
gong ju bao 	工具包	c=4 d=4.47213e-15 t=53366
gong ju lan 	工具欄	c=6 d=0.135335 t=53366
gong kai 	公開	c=1 d=3.09925e-43 t=53366
gong kai hua 	公開化	c=1 d=1 t=4514
gong kai ke 	公開課	c=2 d=0.0715372 t=53366
gong kuang 	工況	c=2 d=1.01561 t=13400
gong lia 	共倆	c=2 d=1.28224 t=8104
gong lu 	公路	c=1 d=1 t=38157
gong lve 	攻略	c=9 d=0.574227 t=53366
gong min 	公民	c=2 d=1 t=50221
gong neng 	功能	c=24 d=1.41541 t=53366
gong nong bing 	工農兵	c=1 d=1 t=36687
gong nuan 	供暖	c=3 d=0.00248781 t=53366
gong pai 	公派	c=1 d=0.00390694 t=53366
gong ping 	公平	c=9 d=1.06217 t=50961
gong qi 	工期	c=4 d=0.0110536 t=53366
gong qiu 	供求	c=1 d=1 t=8319
gong ren 	工人	c=1 d=1 t=30292
gong rong 	攻榮	c=1 d=7.06873e-08 t=53366
gong shang 	工商	c=5 d=1 t=45919
gong shi 	公事	c=1 d=0.000457378 t=53366
gong shi 	公式	c=12 d=0.52077 t=53366
gong shi 	共識	c=7 d=2.69222 t=3823
gong shi ceng 	共識層	c=1 d=1 t=3717
gong shi hua 	公式化	c=1 d=1 t=36642
gong shi shi jian 	共識實踐	c=1 d=1 t=3449
gong shi shi jian 	共識時間	c=1 d=1 t=3450
gong si 	公司	c=36 d=0.869032 t=53366
gong sun zan 	公孫瓚	c=2 d=0.0332155 t=53366
gong tong 	共同	c=7 d=0.198891 t=53366
gong tong 	共通	c=1 d=1 t=34029
gong wang 	公網	c=2 d=3.26446e-07 t=53366
gong wei 	工位	c=1 d=1 t=37190
gong wei 	恭維	c=1 d=3.77566e-42 t=53366
gong xian 	貢獻	c=8 d=0.0129069 t=53366
gong xiang 	共享	c=155 d=0.436049 t=53366
gong xiang quan xian 	共享權限	c=1 d=1 t=8185
gong xiang zhe 	共享者	c=3 d=2.27222 t=8490
gong xing 	共性	c=2 d=0.0262526 t=53366
gong xu 	供需	c=1 d=0.00191125 t=53366
gong xu 	工序	c=5 d=0.0245492 t=53366
gong xu guan xi 	供需關係	c=1 d=1 t=2953
gong xuan ke 	公選課	c=3 d=1.83612 t=47316
gong yao 	公鑰	c=1 d=0.0187793 t=53366
gong ye 	宮掖	c=2 d=1.99501 t=44911
gong ye 	工業	c=43 d=0.913931 t=53366
gong ye er 	工業而	c=1 d=1 t=41385
gong ye gong cheng 	工業工程	c=9 d=0.109701 t=53366
gong yi 	公益	c=1 d=1 t=50806
gong yi 	工藝	c=6 d=0.786628 t=53366
gong ying 	供應	c=33 d=0.0138427 t=53366
gong ying 	共贏	c=1 d=0.67368 t=53366
gong ying lian 	供應鏈	c=13 d=0.525725 t=53366
gong ying shang 	供應商	c=7 d=0.429557 t=53366
gong yong 	公用	c=2 d=1 t=52403
gong you 	公有	c=1 d=1 t=12127
gong you 	共有	c=0 d=0.0985112 t=53366
gong you 	工友	c=2 d=1 t=43447
gong you yun 	共有雲	c=1 d=0.99005 t=53366
gong yu 	公寓	c=8 d=2.49025e-28 t=53366
gong yuan 	公元	c=1 d=0.0112206 t=53366
gong yuan 	公園	c=5 d=0.244319 t=53366
gong zhen 	共振	c=4 d=0.0896963 t=53366
gong zheng 	公正	c=2 d=1 t=38858
gong zhong 	公衆	c=0 d=5.86249e-43 t=53366
gong zhong hao 	公衆號	c=1 d=5.89187e-42 t=53366
gong zi 	工資	c=6 d=0.0111647 t=53366
gong zuo 	工作	c=74 d=1.8372 t=53366
gong zuo liang 	工作量	c=7 d=1 t=27141
gong zuo liu 	工作流	c=3 d=6.19205e-09 t=53366
gong zuo ren wu 	工作任務	c=1 d=1 t=2058
gong zuo ren yuan 	工作人員	c=4 d=0.895834 t=53366
gong zuo ri 	工作日	c=3 d=1.00878 t=46253
gong zuo zhan 	工作站	c=1 d=1 t=11924
gong zuo zhe 	工作者	c=2 d=1.40014e-05 t=53366
google 	Google	c=2 d=0.0837483 t=53366
gou 	夠	c=7 d=0.418952 t=53366
gou 	溝	c=1 d=1.05088e-25 t=53366
gou 	狗	c=5 d=1.99516 t=53366
gou 	苟	c=1 d=1 t=23660
gou 	購	c=1 d=4.29777e-07 t=53366
gou bu gou 	夠不夠	c=1 d=1 t=33765
gou bu li 	狗不理	c=1 d=6.17271e-31 t=53366
gou cao 	溝槽	c=1 d=4.11929e-08 t=53366
gou cheng 	構成	c=14 d=2.90232e-06 t=53366
gou cheng de 	構成的	c=1 d=1 t=28224
gou de 	購得	c=1 d=0.000898306 t=53366
gou duo 	夠多	c=1 d=6.82677e-10 t=53366
gou er duo 	夠耳朵	c=1 d=0.0133665 t=53366
gou gou 	溝溝	c=1 d=0.00179994 t=53366
gou jia 	構架	c=1 d=1 t=39880
gou jian 	構建	c=67 d=2.14474 t=53366
gou mai 	購買	c=9 d=0.00207043 t=53366
gou ming 	狗命	c=1 d=1 t=37337
gou pi 	狗屁	c=1 d=4.74881e-34 t=53366
gou piao 	購票	c=1 d=0.100761 t=53366
gou qi 	枸杞	c=1 d=1 t=37385
gou tong 	溝通	c=4 d=0.767206 t=53366
gou wu 	購物	c=6 d=0.615656 t=53366
gou wu che 	購物車	c=1 d=2.3717e-13 t=53366
gou xiong 	狗熊	c=1 d=3.17716e-41 t=53366
gou xuan 	勾選	c=1 d=1 t=43642
gou yong 	夠用	c=1 d=0.1 t=10822
gou zao 	構造	c=3 d=3.81228e-30 t=53366
gu 	古	c=1 d=1 t=45170
gu 	故	c=2 d=0.0603506 t=53366
gu 	股	c=5 d=0.0181376 t=53366
gu 	鈷	c=1 d=3.04843e-25 t=53366
gu 	顧	c=4 d=1.88375e-09 t=53366
gu 	骨	c=3 d=2.14498 t=14576
gu ba 	古巴	c=2 d=2.71791e-20 t=53366
gu bu shang 	顧不上	c=1 d=4.84654e-09 t=53366
gu dai 	古代	c=2 d=0.729789 t=53366
gu dan 	孤單	c=2 d=1.99005 t=29441
gu dian 	古典	c=1 d=1 t=49181
gu ding 	固定	c=5 d=2.85221e-07 t=53366
gu du 	孤獨	c=5 d=0.261846 t=53366
gu fen 	股份	c=1 d=1 t=3743
gu ge 	谷歌	c=5 d=0.951229 t=53366
gu hang 	孤行	c=1 d=0.433874 t=53366
gu hua 	固話	c=1 d=0.282239 t=53366
gu hui 	骨灰	c=1 d=1 t=21739
gu ji 	估計	c=12 d=0.680451 t=53366
gu ji 	古蹟	c=1 d=0.0232837 t=53366
gu ji 	孤寂	c=4 d=0.0237541 t=53366
gu ji zhi 	估計值	c=1 d=1 t=39669
gu jian 	固件	c=1 d=1 t=43705
gu jian zhu 	古建築	c=1 d=2.75364e-05 t=53366
gu ju 	故居	c=3 d=0.694197 t=53366
gu ke 	顧客	c=2 d=1.91393 t=4370
gu ke 	骨科	c=1 d=1 t=53366
gu li 	孤立	c=1 d=1 t=1861
gu li 	鼓勵	c=2 d=7.66529e-20 t=53366
gu long 	古龍	c=1 d=5.8164e-08 t=53366
gu niang 	姑娘	c=1 d=0.0219278 t=53366
gu piao 	股票	c=3 d=0.484325 t=53366
gu qi yong qi 	鼓起勇氣	c=1 d=2.00051e-40 t=53366
gu quan 	股權	c=1 d=1 t=3732
gu ren 	古人	c=1 d=0.000584356 t=53366
gu shi 	古詩	c=1 d=0.000593188 t=53366
gu shi 	故事	c=7 d=0.00270711 t=53366
gu shi 	股市	c=1 d=7.26249e-32 t=53366
gu shi ban 	故事板	c=1 d=1.24367e-36 t=53366
gu shi bei jing 	故事背景	c=1 d=1 t=41253
gu suan 	估算	c=1 d=1 t=18515
gu tou 	骨頭	c=1 d=9.82203e-25 t=53366
gu xiang 	故鄉	c=1 d=0.165299 t=53366
gu xin jian 	顧新建	c=1 d=5.51263e-24 t=53366
gu xun 	古訓	c=1 d=0.000536738 t=53366
gu yan 	古諺	c=1 d=1 t=50251
gu yi 	故意	c=2 d=0.809578 t=53366
gu you 	固有	c=2 d=0.000843223 t=53366
gu zhang 	故障	c=2 d=1 t=41513
gu zhe 	骨折	c=5 d=1 t=47037
gu zhi 	固執	c=1 d=9.59451e-14 t=53366
gu zuo 	故作	c=0 d=0.1 t=23242
gu zuo you mo 	故作幽默	c=1 d=1 t=23243
gua 	掛	c=2 d=2.71441e-42 t=53366
gua 	瓜	c=1 d=1.12321e-14 t=53366
gua duan 	掛斷	c=1 d=1 t=36504
gua gua 	呱呱	c=1 d=1 t=11920
gua hu 	刮鬍	c=1 d=0.612626 t=53366
gua tou 	寡頭	c=1 d=1 t=21736
gua zai 	掛在	c=1 d=1.3181e-14 t=53366
gua zai 	掛載	c=1 d=1 t=11936
guai 	怪	c=5 d=0.0170774 t=53366
guai shou 	怪獸	c=1 d=1 t=41993
guai wo 	怪我	c=1 d=0.00165327 t=53366
guan 	官	c=10 d=0.00100779 t=53366
guan 	管	c=4 d=4.7293e-15 t=53366
guan 	罐	c=1 d=5.31579e-08 t=53366
guan 	觀	c=3 d=0.0867261 t=53366
guan 	貫	c=1 d=1 t=1241
guan 	關	c=3 d=3.66356e-11 t=53366
guan 	館	c=7 d=0.235746 t=53366
guan ai 	關愛	c=1 d=1 t=20342
guan bao 	管飽	c=1 d=1 t=23071
guan bi 	關閉	c=6 d=0.869358 t=53366
guan cai 	棺材	c=1 d=4.6789e-36 t=53366
guan ce 	觀測	c=1 d=0.000113353 t=53366
guan cha 	觀察	c=3 d=1 t=33420
guan chuang 	關窗	c=1 d=1 t=20162
guan dao 	管道	c=1 d=1.83406e-18 t=53366
guan dian 	觀點	c=8 d=3.84943e-05 t=53366
guan du 	官渡	c=1 d=0.0157644 t=53366
guan fang 	官方	c=3 d=0.277236 t=53366
guan guang 	觀光	c=1 d=3.31324e-05 t=53366
guan hu 	關乎	c=1 d=0.0898153 t=53366
guan huai 	關懷	c=1 d=1 t=51558
guan huan 	管換	c=3 d=1.9901 t=41169
guan ji 	關機	c=3 d=0.543679 t=53366
guan jia 	管家	c=1 d=0.177284 t=53366
guan jian 	關鍵	c=62 d=0.83527 t=53366
guan jian ci 	關鍵詞	c=1 d=0.00033379 t=53366
guan jian ji shu 	關鍵技術	c=1 d=0.000841773 t=53366
guan jian ma 	關鍵嗎	c=1 d=1 t=22693
guan jian zi 	關鍵字	c=4 d=9.85802e-09 t=53366
guan jing tai 	觀景臺	c=1 d=3.80246e-37 t=53366
guan jun 	冠軍	c=1 d=0.99005 t=53366
guan ka 	關卡	c=1 d=0.00107547 t=53366
guan kong 	管控	c=3 d=0.0383884 t=53366
guan kong neng li 	管控能力	c=1 d=1 t=3971
guan lan 	灌籃	c=1 d=1 t=49204
guan lan gao shou 	灌籃高手	c=1 d=0.000305061 t=53366
guan li 	管理	c=79 d=4.70788 t=53366
guan li de 	管理的	c=1 d=1 t=4256
guan li qi 	管理器	c=1 d=0.637628 t=53366
guan li ren yuan 	管理人員	c=1 d=9.56486e-07 t=53366
guan li xue 	管理學	c=0 d=0.0755784 t=53366
guan li xue ke 	管理學科	c=1 d=0.759572 t=53366
guan li yuan 	管理員	c=3 d=0.475392 t=53366
guan li zhong xin 	管理中心	c=1 d=6.16536e-17 t=53366
guan lian 	關聯	c=16 d=0.0235177 t=53366
guan lian du 	關聯度	c=1 d=2.37412e-25 t=53366
guan lian gui ze 	關聯規則	c=1 d=1 t=13094
guan lian xing 	關聯性	c=1 d=1 t=41510
guan men 	關門	c=2 d=0.00719046 t=53366
guan qian 	館前	c=1 d=0.0497871 t=53366
guan shang 	關上	c=1 d=1.3931e-18 t=53366
guan shi 	管事	c=1 d=1 t=31713
guan shui 	灌水	c=1 d=5.84735e-41 t=53366
guan tao 	館陶	c=1 d=1 t=37163
guan tou 	罐頭	c=15 d=2.97519 t=37167
guan wang 	官網	c=7 d=0.00565622 t=53366
guan wang 	觀望	c=1 d=0.00562801 t=53366
guan xi 	關係	c=37 d=0.826959 t=53366
guan xin 	關心	c=2 d=9.54798e-45 t=53366
guan xing 	慣性	c=1 d=8.52697e-38 t=53366
guan xu 	管需	c=1 d=1 t=1190
guan yin 	觀音	c=0 d=0.000914087 t=53366
guan yin tang 	觀音唐	c=1 d=0.00918669 t=53366
guan yu 	關於	c=13 d=0.218712 t=53366
guan zhao 	關照	c=3 d=3.00898e-09 t=53366
guan zhi 	管制	c=1 d=1 t=33315
guan zhu 	關注	c=3 d=0.247833 t=53366
guan zhu dian 	關注點	c=1 d=1 t=30683
guang 	光	c=9 d=0.0239928 t=53366
guang 	廣	c=3 d=1 t=10717
guang 	逛	c=1 d=1.72549e-06 t=53366
guang bo 	廣播	c=2 d=0.000699601 t=53366
guang bo ti cao 	廣播體操	c=1 d=4.91979e-09 t=53366
guang chang 	廣場	c=3 d=0.180194 t=53366
guang da 	光大	c=1 d=6.55908e-10 t=53366
guang da 	廣大	c=1 d=6.5386e-32 t=53366
guang du 	廣度	c=1 d=2.62194e-46 t=53366
guang fan 	廣泛	c=3 d=0.0020601 t=53366
guang fan hua 	廣泛化	c=1 d=1 t=4508
guang gao 	廣告	c=3 d=0.683861 t=53366
guang hua 	光滑	c=1 d=1 t=40581
guang ming 	光明	c=1 d=1 t=47197
guang pan 	光盤	c=3 d=1.00555 t=53366
guang qu 	光驅	c=3 d=0.839457 t=53366
guang shi 	光是	c=1 d=1 t=17412
guang tou 	光頭	c=2 d=0.801043 t=53366
guang yi 	廣義	c=2 d=1 t=21262
guang yu fan wei nei 	廣域範圍內	c=1 d=1 t=2653
guang yuan 	光源	c=1 d=1 t=42942
guang zhao 	光照	c=1 d=1 t=40584
guang zhou 	廣州	c=5 d=0.286698 t=53366
guang zi 	光子	c=1 d=5.35626e-09 t=53366
gui 	圭	c=1 d=6.37716e-32 t=53366
gui 	桂	c=1 d=1 t=36412
gui 	歸	c=6 d=4.82301e-22 t=53366
gui 	貴	c=6 d=0.000149981 t=53366
gui 	軌	c=1 d=1 t=50040
gui 	鬼	c=3 d=0.149569 t=53366
gui 	龜	c=2 d=1.44744e-27 t=53366
gui ben 	歸本	c=1 d=0.826959 t=53366
gui bi 	規避	c=1 d=1 t=12635
gui bing 	歸併	c=2 d=0.344728 t=53366
gui cai 	鬼才	c=1 d=1 t=47677
gui chu 	鬼畜	c=1 d=4.77276e-05 t=53366
gui chui deng 	鬼吹燈	c=1 d=0.715338 t=53366
gui dao 	軌道	c=1 d=1 t=40028
gui di fang 	鬼地方	c=1 d=2.63966e-37 t=53366
gui ding 	規定	c=1 d=3.39885e-11 t=53366
gui fan 	規範	c=9 d=0.765799 t=53366
gui fan hua 	規範化	c=2 d=0.0235177 t=53366
gui gan 	貴幹	c=0 d=0.1 t=22880
gui ge 	規格	c=1 d=1 t=52796
gui gong si 	貴公司	c=1 d=1 t=44508
gui gu 	硅谷	c=19 d=1.84065 t=53366
gui hua 	桂花	c=2 d=1.72253 t=19873
gui hua 	規劃	c=24 d=0.121877 t=53366
gui huan 	歸還	c=1 d=8.42463e-43 t=53366
gui ji 	歸集	c=7 d=2.19602 t=28050
gui ji 	軌跡	c=1 d=1 t=16345
gui jiao 	硅膠	c=1 d=4.12069e-12 t=53366
gui ju 	規矩	c=1 d=1.01318e-07 t=53366
gui lei 	歸類	c=1 d=0.0739031 t=53366
gui lv 	規律	c=6 d=0.430693 t=53366
gui mo 	規模	c=8 d=0.0119742 t=53366
gui na 	歸納	c=3 d=0.740848 t=53366
gui su 	歸宿	c=1 d=6.65573e-35 t=53366
gui ze 	規則	c=21 d=4.75468 t=53366
gui zhe 	跪着	c=1 d=0.127454 t=53366
gun 	棍	c=1 d=1 t=10418
gun 	滾	c=1 d=1 t=40288
gun dong 	滾動	c=1 d=0.0837432 t=53366
gun ya 	輥軋	c=1 d=0.000261259 t=53366
gun zi 	棍子	c=1 d=1 t=2201
guo 	國	c=4 d=0.00153752 t=53366
guo 	果	c=5 d=1.20268e-19 t=53366
guo 	過	c=46 d=0.942583 t=53366
guo 	郭	c=3 d=2.04628e-12 t=53366
guo 	鍋	c=3 d=6.9609e-33 t=53366
guo biao 	國標	c=1 d=1 t=53366
guo bu qu 	過不去	c=1 d=1 t=36406
guo chan 	國產	c=1 d=0.0107807 t=53366
guo cheng 	過程	c=57 d=1.41301 t=53366
guo cheng hua 	過程化	c=1 d=1.79621e-08 t=53366
guo cheng zhong 	過程中	c=3 d=1 t=41837
guo chong 	過沖	c=2 d=1.00004 t=53102
guo de gang 	郭德綱	c=1 d=7.28648e-12 t=53366
guo di 	過低	c=1 d=0.104874 t=53366
guo dong 	果凍	c=1 d=0.394554 t=53366
guo du 	國度	c=1 d=4.51812e-07 t=53366
guo du 	過度	c=3 d=1 t=31086
guo du 	過渡	c=2 d=1 t=49988
guo duan 	果斷	c=2 d=5.76128e-43 t=53366
guo duo 	過多	c=2 d=9.88604e-05 t=53366
guo ge 	國歌	c=2 d=5.91276e-46 t=53366
guo ji 	國籍	c=1 d=1 t=47168
guo ji 	國際	c=13 d=1.6098 t=53366
guo ji ge 	國際歌	c=1 d=2.88039e-05 t=53366
guo ji hang ban 	國際航班	c=1 d=0.000735471 t=53366
guo ji hui yi 	國際會議	c=1 d=0.228779 t=53366
guo ji ji chang 	國際機場	c=1 d=0.172907 t=53366
guo ji lv fei 	國際旅費	c=1 d=0.000116223 t=53366
guo ji tian 	過幾天	c=3 d=0.00138785 t=53366
guo jia 	國家	c=10 d=0.786628 t=53366
guo jie 	過界	c=0 d=0.1 t=51778
guo jing 	國境	c=0 d=3.11223e-05 t=53366
guo ke 	果殼	c=1 d=5.64912e-47 t=53366
guo lai 	過來	c=8 d=0.733447 t=53366
guo le 	過了	c=2 d=9.49097e-05 t=53366
guo liang tian 	過兩天	c=2 d=1 t=48830
guo lv 	過濾	c=5 d=1.12864 t=53366
guo mei 	國美	c=1 d=1 t=37403
guo nei 	國內	c=9 d=0.25924 t=53366
guo nei wai 	國內外	c=1 d=1 t=17791
guo qi 	國旗	c=6 d=0.00381904 t=53366
guo qi 	過期	c=1 d=1 t=42692
guo qiao 	過橋	c=1 d=0.0169075 t=53366
guo qing 	國情	c=1 d=0.000125275 t=53366
guo qu 	過去	c=11 d=1 t=53366
guo qu shi 	過去式	c=1 d=1 t=38215
guo quan 	國權	c=3 d=0.000129338 t=53366
guo ran 	果然	c=2 d=0.740818 t=53366
guo sheng 	過剩	c=1 d=1 t=8309
guo shi 	果實	c=5 d=0.831104 t=53366
guo shi 	過時	c=1 d=0.603506 t=53366
guo shu 	國書	c=2 d=0.558869 t=53366
guo si ge 	過四個	c=1 d=1 t=53250
guo tong hui 	國統會	c=1 d=0.161218 t=53366
guo wai 	國外	c=5 d=0.00477442 t=53366
guo xin 	國信	c=1 d=0.00582847 t=53366
guo yu 	過於	c=2 d=0.181772 t=53366
guo yu dan xin 	過於擔心	c=1 d=2.00992e-07 t=53366
guo zuo 	國祚	c=1 d=1 t=44541
ha 	哈	c=2 d=1 t=39068
ha 	蛤	c=1 d=3.36904e-26 t=53366
ha ceng 	哈層	c=1 d=1 t=47394
ha di 	哈迪	c=1 d=1 t=44929
ha ha 	哈哈	c=11 d=5.73078e-10 t=53366
ha ha ha 	哈哈哈	c=13 d=0.000190664 t=53366
ha ha ha ha 	哈哈哈哈	c=1 d=7.16168e-44 t=53366
ha li bo te 	哈利波特	c=1 d=8.38003e-10 t=53366
ha mi dun 	哈密頓	c=1 d=2.54583e-23 t=53366
ha mi gua 	哈密瓜	c=1 d=1 t=33018
ha sai kuang fan 	蛤賽況樊	c=1 d=3.38593e-25 t=53366
ha xi 	哈希	c=3 d=2.52964 t=3586
ha xi zhi 	哈希值	c=3 d=2.17625 t=3716
hai 	嗨	c=2 d=1.3061e-24 t=53366
hai 	害	c=1 d=4.07761e-06 t=53366
hai 	海	c=8 d=0.191333 t=53366
hai 	還	c=83 d=1.58176 t=53366
hai an xian 	海岸線	c=1 d=3.81502e-17 t=53366
hai bao 	海報	c=1 d=0.00201931 t=53366
hai bian 	海邊	c=2 d=4.15348e-17 t=53366
hai bu 	還不	c=0 d=0.1 t=4514
hai bu cuo 	還不錯	c=1 d=1 t=6640
hai bu ming que 	還不明確	c=1 d=1 t=4515
hai dao 	海盜	c=1 d=0.0519442 t=53366
hai dao wan 	海盜灣	c=1 d=0.522046 t=53366
hai dei 	還得	c=1 d=5.4626e-05 t=53366
hai er 	海爾	c=1 d=2.24203e-28 t=53366
hai guan 	海關	c=1 d=0.22091 t=53366
hai hao 	還好	c=3 d=0.025223 t=53366
hai hui 	還會	c=1 d=1 t=21616
hai jun 	海軍	c=1 d=1 t=24258
hai kang 	海康	c=10 d=2.36008e-07 t=53366
hai ke yi 	還可以	c=2 d=1 t=36016
hai liang 	海量	c=3 d=0.10184 t=53366
hai mei 	還沒	c=5 d=0.66034 t=53366
hai mei you 	還沒有	c=3 d=0.489207 t=53366
hai mian 	海綿	c=1 d=1.36079e-36 t=53366
hai neng 	還能	c=2 d=0.0381969 t=53366
hai shang 	海上	c=1 d=7.03325e-37 t=53366
hai sheng xia 	還剩下	c=1 d=1 t=38647
hai shi 	還是	c=53 d=1.15178 t=53366
hai shu 	海曙	c=2 d=1.90133e-30 t=53366
hai shui 	海水	c=1 d=1 t=17145
hai suan 	還算	c=1 d=6.85982e-08 t=53366
hai tan 	海灘	c=1 d=3.95428e-27 t=53366
hai wai 	海外	c=2 d=4.27633e-07 t=53366
hai xian 	海鮮	c=1 d=0.0544757 t=53366
hai xian wan yan 	海鮮晚宴	c=1 d=4.30509e-27 t=53366
hai xiang 	海象	c=1 d=0.657047 t=53366
hai xiao 	海嘯	c=1 d=7.69585e-08 t=53366
hai xing 	還行	c=4 d=5.82947e-05 t=53366
hai xu 	還需	c=1 d=1 t=34590
hai xu yao 	還需要	c=3 d=0.00292342 t=53366
hai yang 	海洋	c=4 d=0.0234005 t=53366
hai yao 	還要	c=6 d=6.11986e-07 t=53366
hai yi 	還以	c=0 d=0.1 t=2174
hai yi wei 	還以爲	c=2 d=4.24546e-10 t=53366
hai you 	還有	c=23 d=0.406028 t=53366
hai you ji ge 	還有幾個	c=1 d=1 t=39048
hai yun 	海運	c=1 d=8.44383e-11 t=53366
hai zai 	還在	c=10 d=0.621885 t=53366
hai zao 	還早	c=1 d=0.00179097 t=53366
hai zei 	海賊	c=18 d=1.31616 t=53366
hai zei wang 	海賊王	c=27 d=1.30955 t=53366
hai zi 	孩子	c=2 d=8.89519e-06 t=53366
han 	含	c=1 d=1 t=2035
han 	汗	c=1 d=1 t=13649
han 	漢	c=1 d=7.30387e-40 t=53366
han 	韓	c=2 d=0.2334 t=53366
han dong 	寒冬	c=2 d=1.92312 t=48639
han dou 	憨豆	c=4 d=2.63932e-34 t=53366
han gai 	涵蓋	c=1 d=4.255e-07 t=53366
han guo 	韓國	c=3 d=1.24646e-33 t=53366
han hua 	漢化	c=2 d=2.41837e-07 t=53366
han ju 	韓劇	c=5 d=1.38366e-42 t=53366
han shu 	函數	c=22 d=0.827311 t=53366
han shui 	含稅	c=1 d=0.000212834 t=53366
han xu 	含蓄	c=1 d=1 t=22755
han yi 	含義	c=2 d=1.00001 t=2708
han yu 	漢語	c=1 d=0.00582847 t=53366
han yu 	韓語	c=1 d=2.33393e-30 t=53366
han zi 	漢字	c=1 d=0.15259 t=53366
hang 	杭	c=3 d=1.07436e-20 t=53366
hang 	航	c=3 d=0.0485578 t=53366
hang 	行	c=4 d=0.277638 t=53366
hang ban 	航班	c=2 d=0.734547 t=53366
hang bang 	杭邦	c=1 d=0.000534061 t=53366
hang dang 	行當	c=1 d=0.0114473 t=53366
hang hao 	行號	c=3 d=1.55498e-09 t=53366
hang kong 	航空	c=3 d=3.6718e-08 t=53366
hang kong gong si 	航空公司	c=1 d=0.000162473 t=53366
hang lie 	行列	c=1 d=6.03814e-07 t=53366
hang lie shi 	行列式	c=1 d=2.13421e-07 t=53366
hang qing 	行情	c=1 d=1 t=31161
hang tian 	航天	c=7 d=0.00130703 t=53366
hang xing 	航行	c=1 d=0.0505395 t=53366
hang ye 	行業	c=11 d=0.229925 t=53366
hang zhou 	杭州	c=55 d=1.5734 t=53366
hang zhou hua 	杭州話	c=2 d=1.05542e-35 t=53366
hang zhou shi 	杭州市	c=5 d=0.00315356 t=53366
hao 	好	c=164 d=3.47365 t=53366
hao 	昊	c=1 d=1 t=41534
hao 	皓	c=6 d=1 t=29984
hao 	號	c=25 d=1.91987 t=53366
hao 	豪	c=1 d=0.246597 t=53366
hao ba 	好吧	c=1 d=1.40419e-23 t=53366
hao bang 	好棒	c=1 d=0.0411719 t=53366
hao bi 	好比	c=1 d=1 t=20537
hao cai 	耗材	c=1 d=8.89519e-06 t=53366
hao cheng 	號稱	c=1 d=1 t=30437
hao chi 	好吃	c=1 d=2.14673e-17 t=53366
hao chu 	好處	c=5 d=0.72984 t=53366
hao da 	好大	c=1 d=1 t=14591
hao de 	好的	c=69 d=0.548423 t=53366
hao di 	好滴	c=1 d=1 t=30756
hao di fang 	好地方	c=1 d=1 t=47509
hao duo 	好多	c=7 d=0.481746 t=53366
hao fu wu 	好服務	c=1 d=1.01439e-21 t=53366
hao hao 	好好	c=9 d=0.0731678 t=53366
hao he 	好喝	c=1 d=1.74942e-21 t=53366
hao huai 	好壞	c=1 d=1 t=41670
hao ji ci 	好幾次	c=1 d=1.92606e-35 t=53366
hao ji ge 	好幾個	c=2 d=1 t=52428
hao ji nian 	好幾年	c=1 d=0.163654 t=53366
hao ji tian 	好幾天	c=1 d=8.28086e-17 t=53366
hao jin 	耗盡	c=3 d=1 t=50535
hao jiu 	好久	c=2 d=9.93458e-12 t=53366
hao ju 	好句	c=1 d=0.265803 t=53366
hao kan 	好看	c=1 d=1.85508e-05 t=53366
hao le 	好了	c=9 d=0.00815722 t=53366
hao ma 	好嗎	c=2 d=4.2711e-22 t=53366
hao ma 	號碼	c=10 d=0.133531 t=53366
hao ma fan 	好麻煩	c=1 d=9.2724e-24 t=53366
hao mang 	好忙	c=1 d=1.14789e-05 t=53366
hao miao 	毫秒	c=1 d=9.85583e-36 t=53366
hao nan 	好難	c=1 d=3.03642e-08 t=53366
hao ping 	好評	c=3 d=0.965605 t=53366
hao qi 	好奇	c=1 d=0.00882647 t=53366
hao qi dai 	好期待	c=1 d=1.12012e-11 t=53366
hao qi lai 	好起來	c=1 d=3.18159e-28 t=53366
hao qu chu 	好去處	c=1 d=0.162026 t=53366
hao ren 	好人	c=3 d=7.45032e-05 t=53366
hao ri zi 	好日子	c=1 d=9.15332e-19 t=53366
hao shi 	好使	c=1 d=4.51644e-32 t=53366
hao shi 	好時	c=1 d=1 t=46815
hao shi li 	好視力	c=1 d=4.63156e-34 t=53366
hao ting 	好聽	c=4 d=0.000182274 t=53366
hao tu 	好圖	c=1 d=0.0399551 t=53366
hao wan 	好玩	c=1 d=1 t=42264
hao wei zhi 	好位置	c=1 d=1.00933e-21 t=53366
hao wu 	毫無	c=1 d=1.40204e-05 t=53366
hao wu ya li 	毫無壓力	c=1 d=1.04963e-11 t=53366
hao xiang 	好像	c=34 d=0.0624835 t=53366
hao xiang shi 	好象是	c=2 d=4.29996e-13 t=53366
hao ya 	好呀	c=1 d=1 t=34496
