# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	23402
#@/user_id	sky_mac
a 	啊	c=0 d=4.75447e-49 t=23402
er shi ba 	二十八	c=1 d=2.25718e-19 t=23402
er shi shou 	二十首	c=2 d=0.00322555 t=23402
er shou 	二手	c=0 d=0.00581343 t=23300
er shou shu dian 	二手書店	c=1 d=0.0584257 t=23300
er tong yi yuan 	兒童醫院	c=1 d=0.000285862 t=23402
er wei 	二維	c=3 d=0.0001917 t=23402
er wo 	而我	c=1 d=0.00456197 t=23300
er yan 	而言	c=2 d=0.000428594 t=23300
er yi 	而已	c=3 d=1.01674 t=23402
er yuan 	二元	c=2 d=0.000863665 t=23402
er zi 	兒子	c=2 d=2.08151e-07 t=23402
fa 	法	c=8 d=0.0675424 t=23402
fa 	發	c=48 d=1.06547 t=23402
fa biao 	發表	c=3 d=1 t=23402
fa bu 	發佈	c=39 d=1.4096 t=23402
fa bu le 	發佈了	c=1 d=0.165299 t=23300
fa cheng 	發成	c=1 d=2.1717e-06 t=23402
fa chu 	發出	c=1 d=9.16579e-35 t=23402
fa cuo 	發錯	c=6 d=4.45145e-06 t=23402
fa dai 	發呆	c=1 d=1 t=20182
fa dong 	發動	c=3 d=0.0387974 t=23300
fa dong ji 	發動機	c=10 d=0.26301 t=23402
fa fa 	發發	c=1 d=1 t=23402
fa fang 	發放	c=1 d=0.00245409 t=23300
fa guo 	法國	c=2 d=0.0833256 t=23402
fa hui 	發揮	c=1 d=0.0735345 t=23300
fa huo 	發貨	c=14 d=1 t=23402
fa ji 	髮際	c=0 d=3.12401e-20 t=23402
fa ji xian 	髮際線	c=1 d=3.13967e-19 t=23402
fa la sheng 	法拉盛	c=1 d=1.06807e-10 t=23300
fa lai 	發來	c=1 d=0.00891518 t=23402
fa lun wen 	發論文	c=1 d=0.00489275 t=23300
fa ming 	發明	c=3 d=0.313727 t=23402
fa piao 	發票	c=72 d=4.85598 t=23402
fa re 	發熱	c=3 d=0.182807 t=23402
fa she 	發射	c=1 d=1.40758e-22 t=23402
fa she qi 	發射器	c=1 d=1.91685e-08 t=23402
fa sheng 	發生	c=8 d=1.26058 t=23402
fa sheng 	發聲	c=1 d=1.5383e-08 t=23300
fa sheng qi 	發生器	c=1 d=1 t=21694
fa shi 	法師	c=3 d=0.00300748 t=23402
fa song 	發送	c=3 d=1 t=23402
fa wan 	發晚	c=1 d=0.158817 t=23402
fa wo 	發我	c=1 d=4.5643e-09 t=23300
fa xian 	發現	c=36 d=0.519442 t=23402
fa yan 	發炎	c=1 d=0.187308 t=23402
fa yan 	發言	c=1 d=0.000633025 t=23300
fa yan ren 	發言人	c=1 d=0.000596161 t=23300
fa yin 	發音	c=2 d=3.82319e-05 t=23300
fa ze 	法則	c=1 d=1 t=20439
fa zhan 	發展	c=8 d=0.742688 t=23402
fa zhi 	法制	c=1 d=1 t=20218
fan 	反	c=4 d=0.0127147 t=23402
fan 	帆	c=5 d=0.780024 t=23402
fan 	樊	c=1 d=1 t=23402
fan 	泛	c=1 d=0.000520875 t=23300
fan 	翻	c=2 d=3.29089e-43 t=23402
fan 	范	c=1 d=6.14297e-33 t=23402
fan 	飯	c=2 d=0.271173 t=23402
fan bian yi 	反編譯	c=2 d=0.811172 t=23402
fan bo 	反駁	c=5 d=1.68509e-08 t=23402
fan cha 	反差	c=2 d=8.75213e-31 t=23402
fan chi 	樊遲	c=1 d=9.50521e-51 t=23402
fan cuo 	犯錯	c=1 d=1 t=23402
fan du 	泛讀	c=1 d=0.00242967 t=23402
fan gao 	梵高	c=6 d=1 t=23402
fan gong 	反攻	c=3 d=5.6053e-32 t=23402
fan guang 	反光	c=1 d=1 t=23130
fan gun 	翻滾	c=2 d=4.29833e-30 t=23402
fan han shu 	反函數	c=1 d=0.000100535 t=23402
fan he 	飯盒	c=1 d=1.49696e-11 t=23300
fan hou 	飯後	c=1 d=7.43344e-41 t=23402
fan hua 	泛化	c=2 d=0.0461906 t=23402
fan hui 	返回	c=8 d=0.381002 t=23402
fan hui zhi 	返回值	c=1 d=1 t=23402
fan ke 	凡客	c=4 d=0.50409 t=23402
fan kui 	反饋	c=8 d=0.344735 t=23402
fan pen 	飯盆	c=1 d=6.61444e-50 t=23402
fan qian 	飯前	c=1 d=7.39637e-41 t=23402
fan qiang 	翻牆	c=2 d=1.63004e-13 t=23402
fan ren 	凡人	c=2 d=4.93809e-45 t=23402
fan ren 	犯人	c=1 d=8.12933e-35 t=23402
fan se 	反色	c=1 d=0.0114473 t=23402
fan she 	反射	c=3 d=1.48166 t=23402
fan shen 	翻身	c=0 d=0.000139481 t=23300
fan shen shang che 	翻身上車	c=1 d=0.0014018 t=23300
fan shu 	番薯	c=0 d=2.1232e-06 t=23402
fan shu 	范數	c=1 d=0.00831246 t=23402
fan shu 	蕃薯	c=1 d=2.36866e-05 t=23402
fan suo 	繁瑣	c=1 d=1.13215e-19 t=23402
fan wei 	範圍	c=10 d=1.11678 t=23402
fan wen 	範文	c=1 d=9.05424e-38 t=23402
fan xiang 	反向	c=2 d=0.1 t=23402
fan xiang lian 	反向鏈	c=1 d=1 t=23402
fan xiu 	翻修	c=1 d=0.197899 t=23300
fan xiu 	返修	c=1 d=1 t=23402
fan ye 	翻頁	c=2 d=1.99501 t=23402
fan yi 	翻譯	c=15 d=0.64362 t=23402
fan yi cheng 	翻譯成	c=1 d=8.25807e-14 t=23402
fan yi ci 	反義詞	c=1 d=2.33107e-45 t=23402
fan ying 	反應	c=7 d=1 t=23402
fan ying 	反映	c=3 d=0.125556 t=23402
fan zheng 	反正	c=3 d=0.00914087 t=23402
fan zhi 	反之	c=2 d=2.35811e-05 t=23402
fang 	房	c=5 d=0.0142407 t=23402
fang 	放	c=6 d=1.00033 t=23402
fang 	方	c=52 d=1.87956 t=23402
fang 	防	c=2 d=0.000176005 t=23402
fang an 	方案	c=18 d=1 t=23402
fang an ma 	方案嗎	c=1 d=1.45598e-08 t=23402
fang bian 	方便	c=13 d=0.71506 t=23402
fang bu xia 	放不下	c=2 d=6.76805e-26 t=23402
fang cha 	方差	c=1 d=2.05472e-31 t=23402
fang chan 	房產	c=11 d=0.250324 t=23402
fang chan chu 	房產出	c=1 d=1.54465e-27 t=23402
fang cheng 	方程	c=3 d=1 t=23402
fang chu 	放出	c=1 d=1.06549e-11 t=23402
fang da 	放大	c=0 d=0.00134335 t=23402
fang dong 	房東	c=8 d=0.421052 t=23402
fang fa 	方法	c=89 d=2.00144 t=23402
fang fu 	彷彿	c=0 d=4.14981e-37 t=23402
fang ge 	放個	c=1 d=3.82022e-33 t=23402
fang han jia 	放寒假	c=1 d=9.40133e-10 t=23402
fang hu 	防護	c=1 d=1 t=23402
fang hui 	放回	c=1 d=1 t=23402
fang huo qiang 	防火牆	c=1 d=0.00113627 t=23402
fang jia 	房價	c=1 d=2.09373e-17 t=23402
fang jia 	放假	c=3 d=1.00001 t=23402
fang jian 	坊間	c=3 d=0.970446 t=23402
fang jian 	房間	c=13 d=0.99598 t=23402
fang jie 	方姐	c=2 d=0.486752 t=23402
fang kong 	防空	c=2 d=2.61882e-32 t=23402
fang lao shi 	方老師	c=65 d=1.29885 t=23402
fang lao shi nin hao 	方老師您好	c=1 d=1.28398e-29 t=23402
fang mian 	方面	c=23 d=0.985688 t=23402
fang pi 	放屁	c=1 d=1.65811e-08 t=23300
fang she 	仿射	c=1 d=0.000122794 t=23300
fang shi 	方式	c=39 d=1.48716 t=23402
fang shui 	方水	c=4 d=0.939422 t=23402
fang shui 	防水	c=2 d=5.88724e-25 t=23402
fang shui liang 	方水良	c=2 d=0.00609675 t=23402
fang suo 	放縮	c=1 d=1.1333e-31 t=23402
fang suo 	防縮	c=1 d=1.12765e-31 t=23402
fang wen 	訪問	c=3 d=0.240508 t=23402
fang wu 	房屋	c=3 d=0.00282287 t=23402
fang xia 	放下	c=7 d=0.0547488 t=23402
fang xiang 	方向	c=14 d=1.94331 t=23402
fang xiang pan 	方向盤	c=1 d=6.57697e-42 t=23402
fang xin 	放心	c=1 d=0.00726273 t=23402
fang yuan 	房源	c=1 d=1.51406e-27 t=23402
fang zai 	放在	c=3 d=1.36422 t=23402
fang zai 	防災	c=2 d=7.60013e-07 t=23402
fang zhen 	仿真	c=71 d=1.5246 t=23402
fang zhi 	放置	c=1 d=1 t=23402
fang zhi 	防止	c=1 d=2.18177e-31 t=23402
fang zhi pin 	仿製品	c=1 d=0.00603608 t=23300
fang zi 	房子	c=1 d=0.000178665 t=23300
fei 	廢	c=3 d=3.09591e-47 t=23402
fei 	菲	c=4 d=9.74449e-20 t=23402
fei 	費	c=9 d=0.185444 t=23402
fei 	非	c=5 d=0.895843 t=23402
fei 	飛	c=11 d=1.64825 t=23402
fei bo yi 	非博弈	c=1 d=4.23306e-05 t=23402
fei chang 	非常	c=42 d=0.705007 t=23402
fei chang bang 	非常棒	c=1 d=1 t=23402
fei cheng 	費城	c=48 d=4.73992 t=23402
fei cheng yi shu 	費城藝術	c=1 d=0.00141589 t=23300
fei chuan 	飛船	c=1 d=8.91489e-32 t=23402
fei dui cheng 	非對稱	c=2 d=1.99501 t=22260
fei fa 	非法	c=1 d=2.78748e-31 t=23402
fei ji 	飛機	c=7 d=0.137834 t=23402
fei ji shang 	飛機上	c=1 d=0.133989 t=23402
fei li pu 	飛利浦	c=2 d=0.00286554 t=23402
fei mao 	肥貓	c=1 d=0.0629761 t=23300
fei niu 	肥牛	c=1 d=1.48995e-44 t=23402
fei qi 	廢棄	c=1 d=0.00923273 t=23402
fei qi 	飛起	c=1 d=2.85406e-44 t=23402
fei qi ci 	非齊次	c=1 d=3.86334e-18 t=23402
fei xian xing 	非線性	c=4 d=0.0464348 t=23300
fei xiao hao 	非消耗	c=1 d=6.22097e-05 t=23402
fei xiao tong 	費孝通	c=2 d=1.96637e-05 t=23402
fei xing 	飛行	c=1 d=5.49092e-07 t=23300
fei yong 	費用	c=10 d=0.865022 t=23402
fei yu qing 	費玉清	c=3 d=0.896416 t=23402
fei zao 	肥皂	c=1 d=1 t=22085
fei zhe 	飛着	c=0 d=1.7089e-11 t=23300
fei zhe fei zhe 	飛着飛着	c=1 d=1.71747e-10 t=23300
fei zhi pei 	非支配	c=1 d=2.92184e-26 t=23402
fen 	份	c=2 d=4.51889e-09 t=23402
fen 	分	c=9 d=0.000511796 t=23402
fen 	墳	c=1 d=5.57657e-42 t=23402
fen 	粉	c=7 d=0.141564 t=23402
fen bian 	分辨	c=1 d=4.96754e-05 t=23402
fen bian lv 	分辨率	c=3 d=6.26226e-28 t=23402
fen bie 	分別	c=2 d=0.522046 t=23402
fen bu 	分佈	c=9 d=0.0782047 t=23402
fen bu shi 	分佈式	c=2 d=1.40906e-05 t=23402
fen cang 	粉倉	c=2 d=1.91491e-06 t=23402
fen cheng 	分成	c=3 d=6.11565e-10 t=23402
fen da 	分答	c=1 d=0.00778933 t=23300
fen fa 	分發	c=2 d=8.51252e-09 t=23402
fen ge 	分割	c=2 d=5.99251e-06 t=23402
fen jian 	分揀	c=1 d=1 t=22500
fen jie 	分解	c=10 d=0.0218184 t=23402
fen kai 	分開	c=1 d=1.67045e-07 t=23402
fen lei 	分類	c=14 d=1.70376 t=23402
fen lei qi 	分類器	c=6 d=1.49781 t=23402
fen li 	分離	c=1 d=0.00316691 t=23402
fen liang 	分量	c=1 d=6.65821e-10 t=23300
fen mu 	分母	c=1 d=2.54237e-07 t=23402
fen nu 	憤怒	c=1 d=2.67445e-44 t=23402
fen pai 	分派	c=3 d=2.04759 t=21825
fen pei 	分配	c=13 d=0.70472 t=23402
fen qu 	分區	c=6 d=0.0248475 t=23402
fen san 	分散	c=4 d=0.188142 t=23402
fen shen 	分身	c=1 d=0.144424 t=23402
fen shu 	分數	c=2 d=1.45623e-10 t=23402
fen shu 	分述	c=1 d=1.96979e-05 t=23300
fen si 	粉絲	c=1 d=0.0361528 t=23300
fen wei 	分爲	c=2 d=0.585669 t=23402
fen wei 	氛圍	c=4 d=0.000114493 t=23402
fen wu 	糞污	c=1 d=5.3459e-45 t=23402
fen xi 	分析	c=41 d=1.24301 t=23402
fen xi bu fen 	分析部分	c=1 d=2.3473e-09 t=23402
fen xian xing 	分線形	c=1 d=1 t=22246
fen xiang 	分享	c=6 d=0.0115535 t=23402
fen xing 	分形	c=1 d=0.00135358 t=23300
fen zhi 	分支	c=8 d=0.313083 t=23402
fen zhong 	分鐘	c=7 d=1.87783e-07 t=23402
fen zi 	分子	c=0 d=6.67317e-08 t=23402
fen zi fen mu 	分子分母	c=1 d=6.70662e-07 t=23402
fen zu 	分組	c=1 d=1 t=21146
feng 	封	c=2 d=3.96801e-09 t=23402
feng 	峯	c=5 d=0.00401889 t=23402
feng 	瘋	c=1 d=2.29996e-34 t=23402
feng 	蜂	c=4 d=3.52231e-29 t=23402
feng 	鋒	c=2 d=7.93422e-06 t=23402
feng 	風	c=9 d=1.68724e-07 t=23402
feng ban 	蜂斑	c=2 d=2.00495e-29 t=23402
feng ge 	風格	c=3 d=0.0575558 t=23402
feng guang 	風光	c=1 d=3.73566e-05 t=23402
feng huang 	鳳凰	c=1 d=0.00507928 t=23402
feng huang shan lu 	鳳凰山路	c=1 d=0.0510474 t=23402
feng hui 	峯會	c=3 d=0.00383276 t=23402
feng jing 	風景	c=1 d=2.57456e-08 t=23402
feng kuang 	瘋狂	c=2 d=1.96057e-38 t=23402
feng li su 	鳳梨酥	c=1 d=9.69063e-43 t=23402
feng ling 	風鈴	c=1 d=0.000623601 t=23402
feng mian 	封面	c=2 d=0.140858 t=23402
feng pan 	封盤	c=2 d=0.675812 t=23402
feng shan 	風扇	c=1 d=0.00882647 t=23300
feng sheng 	豐盛	c=1 d=1.27671e-21 t=23402
feng sheng 	風聲	c=1 d=1.07895e-41 t=23402
feng suo 	封鎖	c=1 d=0.0495388 t=23402
feng wei 	風味	c=1 d=4.19094e-05 t=23300
feng wei 	鳳尾	c=1 d=0.00798652 t=23402
feng xian 	風險	c=2 d=0.00451658 t=23402
feng xian kong zhi 	風險控制	c=1 d=0.00603608 t=23402
feng xing 	風行	c=1 d=1.49462e-22 t=23402
feng yi 	風衣	c=1 d=6.97298e-24 t=23402
feng zhuang 	封裝	c=8 d=0.74663 t=23402
fo 	佛	c=1 d=2.62971e-22 t=23402
fo jiao 	佛教	c=1 d=0.0780817 t=23402
fo jiao wen hua 	佛教文化	c=1 d=0.0270518 t=23402
fou 	否	c=1 d=4.26529e-06 t=23402
fou ze 	否則	c=1 d=1 t=19361
fu 	付	c=4 d=0.794534 t=23402
fu 	夫	c=1 d=0.179964 t=23402
fu 	弗	c=1 d=6.69386e-14 t=23402
fu 	氟	c=1 d=1.21672e-43 t=23402
fu 	父	c=4 d=1.22505e-05 t=23402
fu 	福	c=2 d=1.88831e-08 t=23300
fu 	腐	c=1 d=3.72907e-43 t=23402
fu 	覆	c=2 d=0.187325 t=23402
fu 	負	c=1 d=8.93978e-06 t=23402
fu 	赴	c=2 d=0.000311223 t=23402
fu 	附	c=1 d=6.74483e-15 t=23402
fu ben 	副本	c=1 d=0.985112 t=23402
fu chou 	復仇	c=2 d=2.90466e-32 t=23402
fu cong 	傅聰	c=2 d=0.0158537 t=23300
fu dai 	附帶	c=1 d=2.52402e-10 t=23402
fu diao 	浮雕	c=1 d=0.429557 t=23402
fu gai 	覆蓋	c=1 d=0.170333 t=23402
fu hao 	符號	c=3 d=0.102797 t=23402
fu he 	符合	c=2 d=0.121846 t=23402
fu he 	負荷	c=1 d=0.00618889 t=23402
fu he cai liao 	複合材料	c=2 d=8.65792e-08 t=23300
fu hua 	孵化	c=6 d=0.000595643 t=23402
fu huo 	復活	c=2 d=0.690734 t=23402
fu ji ni ya 	弗吉尼亞	c=1 d=1.60884e-06 t=23402
fu jia 	附加	c=3 d=6.85865e-06 t=23402
fu jian 	附件	c=15 d=0.000219614 t=23402
fu jiao shou 	副教授	c=1 d=6.78095e-19 t=23402
fu jin 	附近	c=9 d=0.160133 t=23402
fu ke 	復刻	c=1 d=0.00748391 t=23402
fu kuan 	付款	c=6 d=0.00445534 t=23402
fu la 	弗拉	c=0 d=0.0126186 t=23402
fu la men ka 	弗拉門卡	c=1 d=0.126818 t=23402
fu lan ke 	福蘭克	c=1 d=0.000300519 t=23402
fu lan ke lin 	富蘭克林	c=3 d=0.00184882 t=23300
fu li 	福利	c=1 d=3.37259e-08 t=23402
fu li ang 	氟利昂	c=1 d=5.78523e-33 t=23402
fu lu 	附錄	c=2 d=0.846367 t=23402
fu mei 	輔酶	c=1 d=3.06371e-25 t=23402
fu mu 	父母	c=1 d=7.50711e-10 t=23300
fu qian 	浮潛	c=1 d=1 t=19667
fu qin 	父親	c=1 d=4.43936e-06 t=23402
fu ren 	夫人	c=4 d=1.5165e-15 t=23402
fu ri 	赴日	c=3 d=2.2542e-17 t=23402
fu shang 	附上	c=1 d=3.30637e-10 t=23402
fu she 	輻射	c=1 d=9.70579e-32 t=23402
fu shou 	扶手	c=1 d=0.115325 t=23300
fu wu 	服務	c=227 d=2.62512 t=23402
fu wu fei 	服務費	c=1 d=0.00535353 t=23402
fu wu hua 	服務化	c=4 d=1.86567 t=23402
fu wu lian 	服務鏈	c=5 d=2.33545 t=23402
fu wu ping tai 	服務平臺	c=1 d=0.000837575 t=23402
fu wu qi 	服務器	c=9 d=0.918512 t=23402
fu wu sheng 	服務生	c=1 d=1.39381e-24 t=23402
fu wu xiao lv 	服務效率	c=1 d=0.00794669 t=23402
fu wu zu he 	服務組合	c=1 d=0.00625109 t=23402
fu xi 	複習	c=2 d=3.88944e-09 t=23402
fu xian 	復現	c=1 d=0.00810722 t=23402
fu xian 	浮現	c=1 d=0.0100518 t=23300
fu xiao jie 	付小姐	c=1 d=1.24024e-33 t=23402
fu xie zhi 	複寫紙	c=1 d=0.00878245 t=23402
fu xing 	復興	c=5 d=0.0513033 t=23402
fu yan 	敷衍	c=1 d=0.00644146 t=23402
fu yin jian 	複印件	c=1 d=6.64781e-21 t=23402
fu yu 	賦予	c=2 d=0.0664145 t=23402
fu za 	複雜	c=21 d=1.85103 t=23402
fu za de 	複雜的	c=1 d=2.25449e-05 t=23402
fu za du 	複雜度	c=1 d=0.19593 t=23402
fu za xing 	複雜性	c=2 d=1.28198e-40 t=23402
fu zai 	負載	c=1 d=1.41661e-09 t=23402
fu ze 	負責	c=1 d=0.0682212 t=23402
fu zhang 	付賬	c=1 d=9.59584e-45 t=23402
fu zhi 	複製	c=6 d=0.900325 t=23402
fu zhi 	賦值	c=1 d=0.204948 t=23402
fu zhi dao 	複製到	c=1 d=1.09169e-32 t=23402
fu zhu 	輔助	c=5 d=0.12046 t=23402
ga 	噶	c=1 d=7.2652e-07 t=23402
gai 	改	c=17 d=0.738973 t=23402
gai 	蓋	c=2 d=0.00900478 t=23402
gai 	該	c=20 d=1.90313 t=23402
gai ban 	改版	c=2 d=0.00489275 t=23402
gai bian 	改變	c=6 d=1.43167 t=23402
gai cheng 	改成	c=3 d=0.786628 t=23402
gai chu 	該處	c=2 d=0.438826 t=23402
gai dong 	改動	c=2 d=1.13111 t=23402
gai er 	蓋兒	c=0 d=0.1 t=21520
gai gai 	改改	c=1 d=3.51082e-10 t=23300
gai ge 	改革	c=1 d=0.0148464 t=23402
gai hao 	改好	c=1 d=7.79995e-19 t=23402
gai jin 	改進	c=4 d=0.474734 t=23402
gai kou 	改口	c=1 d=5.31579e-08 t=23402
gai kuo 	概括	c=1 d=5.46057e-30 t=23402
gai le ma 	該了嗎	c=1 d=0.090718 t=23402
gai liang 	改良	c=1 d=9.00631e-05 t=23402
gai lun 	概論	c=1 d=0.527292 t=23402
gai lv 	概率	c=5 d=0.0471227 t=23402
gai lv lun 	概率論	c=2 d=0.017163 t=23402
gai ming 	改名	c=1 d=0.19205 t=23300
gai nian 	概念	c=8 d=0.101266 t=23402
gai shan 	改善	c=1 d=0.625002 t=23402
gai sheng 	該生	c=1 d=0.000710174 t=23402
gai shu 	概述	c=2 d=0.000459671 t=23402
gai shu xing 	概述性	c=1 d=1.34656e-30 t=23402
gai wan 	改完	c=1 d=4.04116e-18 t=23402
gai wei 	改爲	c=1 d=0.144424 t=23300
gai wen 	該文	c=1 d=8.98459e-06 t=23402
gai wen jian 	該文件	c=1 d=0.970446 t=23402
gai xie 	改寫	c=2 d=0.0792776 t=23300
gai xiu xi 	改休息	c=1 d=0.00683978 t=23402
gai yao 	概要	c=1 d=9.63935e-10 t=23300
gai yong 	改用	c=1 d=0.704688 t=23300
gai zao 	改造	c=3 d=0.00159641 t=23402
gai zhang 	蓋章	c=1 d=1.66643e-08 t=23402
gai zhong 	改種	c=1 d=0.00165327 t=23300
gai zhuang 	改裝	c=1 d=4.30802e-35 t=23402
gan 	幹	c=5 d=0.299692 t=23402
gan 	感	c=1 d=3.44963e-09 t=23300
gan 	敢	c=1 d=0.204948 t=23402
gan 	杆	c=1 d=7.45015e-38 t=23402
gan 	甘	c=1 d=0.18452 t=23300
gan 	趕	c=1 d=1.60495e-07 t=23300
gan bu 	幹部	c=1 d=2.1287e-06 t=23402
gan chu 	感觸	c=1 d=0.19205 t=23300
gan chu 	趕出	c=1 d=4.52981e-08 t=23300
gan cui 	乾脆	c=1 d=4.55392e-41 t=23402
gan dao 	感到	c=5 d=0.142274 t=23402
gan ji 	感激	c=1 d=2.09409e-19 t=23402
gan jing 	乾淨	c=11 d=0.175557 t=23402
gan juan 	幹卷	c=1 d=1.22853e-39 t=23402
gan jue 	感覺	c=28 d=1.83409 t=23402
gan kai 	感慨	c=1 d=1 t=20279
gan ma 	幹嘛	c=3 d=0.496585 t=23402
gan mao 	感冒	c=2 d=8.62098e-10 t=23402
gan qing 	感情	c=1 d=4.77667e-44 t=23402
gan sha 	幹啥	c=1 d=0.0655462 t=23402
gan shen me 	幹什麼	c=1 d=8.49021e-46 t=23402
gan shou 	感受	c=5 d=2.17735 t=23402
gan tan 	感嘆	c=2 d=8.63377e-08 t=23402
gan wu 	感悟	c=1 d=1.77864e-10 t=23300
gan xiang 	感想	c=1 d=0.249075 t=23300
gan xie 	感謝	c=6 d=0.798516 t=23402
gan xing qu 	感興趣	c=3 d=0.0129068 t=23402
gan yu 	干預	c=1 d=0.00511796 t=23402
gan zhe 	甘蔗	c=2 d=0.00892097 t=23402
gan zhi 	感知	c=5 d=0.0146986 t=23402
gan zi 	杆子	c=1 d=7.52502e-38 t=23402
gang 	剛	c=4 d=0.472367 t=23402
gang 	岡	c=1 d=8.37833e-37 t=23402
gang 	崗	c=1 d=0.126818 t=23402
gang 	港	c=3 d=3.13819e-25 t=23402
gang 	綱	c=1 d=8.95043e-20 t=23402
gang 	缸	c=0 d=6.02235e-36 t=23402
gang ban 	鋼板	c=2 d=0.179964 t=23402
gang beng 	鋼鏰	c=1 d=6.52748e-12 t=23402
gang bi 	港幣	c=4 d=0.105399 t=23402
gang cai 	剛纔	c=3 d=0.45612 t=23402
gang gang 	剛剛	c=13 d=0.715338 t=23402
gang gang 	槓槓	c=1 d=0.995012 t=23402
gang gang hao 	剛剛好	c=1 d=1.31743e-08 t=23402
gang hao 	剛好	c=1 d=4.61081e-40 t=23402
gang hua 	鋼化	c=1 d=1.1982e-39 t=23402
gang ling 	槓鈴	c=2 d=1.48735e-37 t=23402
gang men 	肛門	c=1 d=2.75693e-19 t=23402
gang pian 	港片	c=1 d=1.29134e-08 t=23402
gang qin 	鋼琴	c=2 d=0.0110886 t=23402
gang tie 	鋼鐵	c=1 d=0.000254808 t=23402
gang zhong da nao 	缸中大腦	c=1 d=6.05254e-35 t=23402
gao 	搞	c=3 d=0.582056 t=23402
gao 	稿	c=1 d=1.05978e-36 t=23402
gao 	膏	c=2 d=1.8781 t=22450
gao 	高	c=9 d=0.441365 t=23402
gao bai 	告白	c=1 d=6.67523e-40 t=23402
gao bie 	告別	c=2 d=9.26451e-14 t=23402
gao bu dao 	搞不到	c=1 d=0.160414 t=23402
gao ceng 	高層	c=2 d=0.0459593 t=23402
gao chu 	高出	c=1 d=1 t=19044
gao cuo 	搞錯	c=1 d=1.57612e-29 t=23402
gao de di tu 	高德地圖	c=1 d=0.460704 t=23402
gao di 	高低	c=1 d=5.21124e-39 t=23402
gao ding 	搞定	c=1 d=5.21036e-37 t=23402
gao dong 	搞懂	c=2 d=0.00282287 t=23300
gao du 	高度	c=2 d=0.109154 t=23402
gao duan 	高端	c=2 d=1.8781 t=22391
gao fen 	高分	c=1 d=9.00909e-38 t=23402
gao feng 	高峯	c=2 d=1.14304 t=23402
gao hao 	搞好	c=1 d=8.03065e-09 t=23402
gao huo dong 	搞活動	c=1 d=4.35368e-12 t=23402
gao ji 	高級	c=2 d=0.927753 t=23402
gao ji shu 	高技術	c=1 d=1 t=22388
gao jiao 	高腳	c=0 d=0.0537944 t=23402
gao jiao niao 	高腳鳥	c=1 d=0.540641 t=23402
gao jing du 	高精度	c=1 d=1 t=22461
gao kao 	高考	c=2 d=0.146739 t=23300
gao ke ji 	高科技	c=1 d=9.35732e-43 t=23402
gao kong 	高空	c=1 d=0.000850233 t=23402
gao pin 	高頻	c=1 d=1 t=22642
gao qing 	高清	c=1 d=0.00124951 t=23402
gao si 	高斯	c=2 d=0.00900478 t=23402
gao su 	告訴	c=4 d=0.122084 t=23402
gao su 	高速	c=12 d=0.170343 t=23402
gao su wo 	告訴我	c=2 d=2.14527e-09 t=23402
gao su yi xie 	告訴一些	c=1 d=1.56257e-45 t=23402
gao tie 	高鐵	c=3 d=0.597501 t=23402
gao tong 	高通	c=2 d=0.0990788 t=23300
gao wan 	搞完	c=1 d=1.66955e-30 t=23402
gao xiao 	搞笑	c=5 d=0.26982 t=23402
gao xiao 	高效	c=3 d=5.87385e-06 t=23402
gao xiao 	高校	c=2 d=0.0769192 t=23402
gao xing 	高興	c=3 d=6.77403e-07 t=23300
gao xing jian 	高行健	c=1 d=0.000602152 t=23402
gao xing neng 	高性能	c=1 d=8.33823e-10 t=23402
gao yu 	高於	c=1 d=0.188247 t=23402
gao zhang 	高漲	c=1 d=0.00594622 t=23402
gao zhi 	告知	c=2 d=0.124307 t=23402
gao zhi liang 	高質量	c=1 d=0.00222055 t=23402
gao zhong 	高中	c=4 d=0.774916 t=23402
gao zhong sheng 	高中生	c=1 d=2.28771e-30 t=23402
gao zi 	稿子	c=1 d=3.53083e-18 t=23402
ge 	個	c=30 d=1.43749 t=23402
ge 	割	c=0 d=5.47674e-07 t=23402
ge 	各	c=23 d=0.30271 t=23402
ge 	哥	c=4 d=0.726149 t=23402
ge 	格	c=3 d=6.94337e-25 t=23402
ge 	歌	c=9 d=0.00822367 t=23402
ge 	閣	c=1 d=0.0488012 t=23402
ge an 	隔岸	c=1 d=0.00810722 t=23402
ge ba 	個把	c=1 d=1.91717e-10 t=23300
ge ban 	隔板	c=1 d=1 t=19010
ge bi 	戈壁	c=1 d=3.10251e-26 t=23402
ge bu fen 	各部分	c=1 d=1.49335e-12 t=23402
ge ci 	歌詞	c=3 d=0.631284 t=23402
ge da 	各大	c=1 d=0.114178 t=23300
ge di 	各地	c=1 d=5.77146e-05 t=23300
ge ge 	各個	c=19 d=0.740339 t=23402
ge ge 	哥哥	c=1 d=3.45727e-35 t=23402
ge jie duan 	各階段	c=3 d=1.08921e-05 t=23402
ge ju 	格局	c=1 d=0.00628242 t=23402
ge lei 	各類	c=5 d=0.0114479 t=23402
ge lei 	格雷	c=1 d=2.5205e-23 t=23402
ge li 	隔離	c=0 d=0.1 t=19008
ge li ban 	隔離版	c=1 d=1 t=19009
ge lu ji ya 	格魯吉亞	c=0 d=3.02025e-05 t=23402
ge lun bi ya 	哥倫比亞	c=1 d=1.0417e-10 t=23300
ge nuo 	歌諾	c=1 d=0.00980366 t=23402
